City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
talnakh,69.4865,88.3972,-7.65,98,89,7.78,RU,1701146000
hermanus,-34.4187,19.2345,65.86,87,30,7.4,ZA,1701146244
moose jaw,50.4001,-105.5344,26.85,80,100,2.3,CA,1701146244
thompson,55.7435,-97.8558,-14.64,76,40,2.3,CA,1701146245
rongelap,11.1635,166.8941,82.08,76,32,19.42,MH,1701146245
bethel,41.3712,-73.414,37.9,71,75,6.91,US,1701146246
tiksi,71.6872,128.8694,-6.93,97,62,12.08,RU,1701146246
bilibino,68.0546,166.4372,3.06,96,100,2.59,RU,1701146247
fort bragg,35.139,-79.006,43.83,68,0,5.75,US,1701146247
harstad,68.799,16.5293,26.15,77,27,6.13,NO,1701146248
igarka,67.4667,86.5833,-3.1,97,98,11.14,RU,1701146248
selizharovo,56.8519,33.4487,19.63,96,97,4.52,RU,1701146249
hilo,19.7297,-155.09,73.13,92,0,3.44,US,1701146042
port-aux-francais,-49.35,70.2167,38.91,70,84,17.38,TF,1701146250
vorozhba,51.1733,34.2192,13.12,94,59,9.42,UA,1701146251
adamstown,-25.066,-130.1015,73.44,85,100,22.17,PN,1701146251
magistral'nyy,56.1725,107.4458,5.07,78,100,7.81,RU,1701146252
puerto ayora,-0.7393,-90.3518,77.56,92,99,5.99,EC,1701146252
invercargill,-46.4,168.35,52.02,84,100,11.01,NZ,1701146253
usogorsk,63.4106,48.6872,21.67,93,100,12.5,RU,1701146253
port macquarie,-31.4333,152.9167,75.88,79,100,7.94,AU,1701146250
rancho palos verdes,33.7445,-118.387,63.61,45,40,5.99,US,1701146254
vorgashor,67.5833,63.95,-6.11,95,13,6.38,RU,1701146255
codrington,-38.2667,141.9667,66.76,71,71,21.21,AU,1701146255
borba,-4.3878,-59.5939,74.12,94,58,2.17,BR,1701146256
fort st. john,56.2499,-120.8529,37.29,65,20,18.41,CA,1701146256
el estor,15.5333,-89.35,73.42,93,6,1.81,GT,1701146257
yellowknife,62.456,-114.3525,19.42,99,100,6.91,CA,1701146004
padangsidempuan,1.3667,99.2667,84.99,65,86,3.27,ID,1701146258
longyearbyen,78.2186,15.6401,39.04,70,75,13.8,SJ,1701146259
west island,-12.1568,96.8225,84.18,65,40,11.5,CC,1701146259
qaqortoq,60.7167,-46.0333,6.15,66,2,8.84,GL,1701146260
namibe,-15.1961,12.1522,74.66,68,93,5.61,AO,1701146260
sola,-13.8833,167.55,80.22,83,100,15.88,VU,1701146261
stanley,54.868,-1.6985,34.79,96,20,5.75,GB,1701146261
port mathurin,-19.6833,63.4167,75.87,72,3,3.91,MU,1701146262
hasaki,35.7333,140.8333,70.2,44,3,24.36,JP,1701146262
tazacorte,28.629,-17.9293,65.37,55,0,8.05,ES,1701146262
tulagi,-9.0996,160.1476,81.01,78,100,4.38,SB,1701146263
balabac,7.9868,117.0645,84.51,73,43,13.38,PH,1701146263
grytviken,-54.2811,-36.5092,31.68,85,52,15.1,GS,1701146264
puerto natales,-51.7236,-72.4875,41.52,94,66,4.5,CL,1701146264
andovoranto,-18.95,49.1,80.71,65,64,3.96,MG,1701146265
san carlos,9.6612,-68.5827,77.59,72,79,2.93,VE,1701146265
pandan,14.0453,124.1694,82.02,87,90,10.87,PH,1701146266
edinburgh of the seven seas,-37.0676,-12.3116,55.69,70,65,14.0,SH,1701146266
olonkinbyen,70.9221,-8.7187,35.31,88,88,21.88,SJ,1701146266
waitangi,-43.9535,-176.5597,57.81,80,100,5.99,NZ,1701146267
zaragoza,41.6561,-0.8773,54.48,73,20,10.36,ES,1701146267
port lincoln,-34.7333,135.8667,62.24,67,66,20.94,AU,1701146268
mazagao,-0.115,-51.2894,82.45,96,98,3.51,BR,1701146268
kapa'a,22.0752,-159.319,80.58,85,40,6.91,US,1701146269
diamantino,-14.4086,-56.4461,74.25,78,50,3.67,BR,1701146269
erdenet,49.0333,104.0833,9.63,79,27,3.56,MN,1701146270
fisterra,42.9049,-9.2629,55.02,91,100,9.51,ES,1701146270
blackmans bay,-43.0167,147.3167,59.52,70,100,6.85,AU,1701146271
mabaruma,8.2,-59.7833,72.45,99,12,2.33,GY,1701146271
mugia,43.1041,-9.2179,55.17,92,100,11.16,ES,1701146271
korla,41.7597,86.1469,41.68,33,2,2.71,CN,1701146272
sur,22.5667,59.5289,78.31,56,0,10.87,OM,1701146272
ribeira grande,38.5167,-28.7,66.78,79,100,4.7,PT,1701146273
coxen hole,16.3244,-86.5366,80.64,80,11,17.74,HN,1701146273
st. john's,47.5649,-52.7093,37.78,87,75,24.16,CA,1701146244
nizao,18.25,-70.2,74.8,81,3,8.9,DO,1701146274
berezovyy,51.6667,135.7,5.54,60,100,3.24,RU,1701146274
newman,37.3138,-121.0208,47.28,46,85,2.75,US,1701146058
charlottetown,46.2352,-63.1267,46.69,100,100,3.44,CA,1701146275
san antonio de pale,-1.4014,5.6325,79.43,80,97,9.33,GQ,1701146276
saint-pierre,-21.3393,55.4781,83.57,69,0,4.61,RE,1701146276
wuwei,37.9281,102.6414,44.44,24,94,5.26,CN,1701146277
ancud,-41.8697,-73.8203,48.47,82,53,6.55,CL,1701146277
albany,42.6001,-73.9662,33.89,83,24,5.01,US,1701146130
susuman,62.7833,148.1667,-6.29,97,100,5.57,RU,1701146278
bredasdorp,-34.5322,20.0403,67.55,75,3,6.06,ZA,1701146278
patacamaya,-17.2333,-67.9167,48.16,77,100,10.42,BO,1701146279
villa gesell,-37.2639,-56.973,64.11,88,0,17.56,AR,1701146279
dejen,10.1667,38.1333,54.66,50,1,3.74,ET,1701146280
badger,64.8,-147.5333,23.25,93,100,4.61,US,1701146280
solnechnyy,50.7214,136.6319,3.04,86,100,3.0,RU,1701146280
sirsi,14.6167,74.85,82.29,56,56,6.17,IN,1701146281
hawaiian paradise park,19.5933,-154.9731,72.91,93,0,3.44,US,1701146265
carnarvon,-24.8667,113.6333,74.7,56,85,16.4,AU,1701146282
northam,51.0333,-4.2167,44.62,82,36,7.18,GB,1701146283
papatowai,-46.5619,169.4708,48.27,90,98,16.75,NZ,1701146284
collie,-33.3667,116.15,77.58,38,81,9.57,AU,1701146284
antsiranana,-12.2787,49.2917,83.16,57,20,13.8,MG,1701146221
ghat,24.9647,10.1728,57.38,27,0,1.83,LY,1701146285
avarua,-21.2078,-159.775,77.05,69,20,11.5,CK,1701146286
remire-montjoly,4.9167,-52.2667,75.24,100,20,0.0,GF,1701146286
prado,-17.3411,-39.2208,72.55,90,76,4.56,BR,1701146287
lagos,6.5833,3.75,79.12,91,73,2.64,NG,1701146287
utrik,11.2278,169.8474,81.68,74,26,20.67,MH,1701146288
college,64.8569,-147.8028,23.32,91,100,4.61,US,1701146288
minas de marcona,-15.2119,-75.1103,57.87,85,35,9.28,PE,1701146289
cukai,4.25,103.4167,76.95,95,100,7.18,MY,1701146289
keflavik,64.0049,-22.5624,37.31,93,75,2.3,IS,1701146290
peace river,56.2501,-117.286,39.51,65,20,14.97,CA,1701146129
haiku-pauwela,20.9219,-156.3051,75.04,82,20,3.44,US,1701146291
iqaluit,63.7506,-68.5145,26.33,73,100,17.27,CA,1701146292
nzega,-2.479,29.5564,58.89,86,96,1.21,RW,1701146292
lebu,-37.6167,-73.65,55.51,81,93,5.37,CL,1701146293
broken hill,-31.95,141.4333,80.76,25,54,29.15,AU,1701146293
laguna,38.421,-121.4238,50.94,67,0,0.0,US,1701146294
santo antonio do ica,-3.1022,-67.9397,74.35,91,56,0.51,BR,1701146294
celestun,20.8667,-90.4,78.28,81,98,16.24,MX,1701146295
margaret river,-33.95,115.0667,68.83,65,99,10.45,AU,1701146295
miles city,46.4083,-105.8406,29.37,74,0,6.91,US,1701146296
bamyan,34.75,67.25,35.8,27,14,4.68,AF,1701146296
saipan,15.1355,145.701,88.5,74,40,14.97,MP,1701146297
agadez,19.75,10.25,64.98,24,1,4.14,NE,1701146297
pariaman,-0.619,100.12,84.25,67,73,6.76,ID,1701146298
ilulissat,69.2167,-51.1,24.82,74,100,17.27,GL,1701146298
karasburg,-28.0167,18.75,76.24,19,77,9.53,NA,1701146299
georgetown,5.4112,100.3354,87.73,79,20,5.75,MY,1701146299
dunedin,-45.8742,170.5036,51.17,91,100,22.24,NZ,1701146300
warmbad,-28.45,18.7333,77.88,17,74,6.22,NA,1701146300
ilebo,-4.3167,20.5833,70.2,100,100,1.14,CD,1701146301
san patricio,28.017,-97.5169,55.83,45,100,5.01,US,1701146302
lodja,-3.4833,23.4333,70.43,95,100,0.6,CD,1701146302
wailua homesteads,22.0669,-159.378,79.23,86,40,6.91,US,1701146303
khandyga,62.6667,135.6,-19.01,96,100,0.67,RU,1701146303
klyuchi,52.2667,79.1667,32.13,57,99,14.83,RU,1701146304
bamiantong,44.9333,130.5333,10.06,81,34,13.96,CN,1701146304
margate,51.3813,1.3862,43.9,85,97,8.01,GB,1701145912
ushuaia,-54.8,-68.3,47.86,66,20,3.44,AR,1701146288
vilyuchinsk,52.9306,158.4028,25.07,76,79,9.51,RU,1701146306
lazaro cardenas,17.9583,-102.2,78.58,76,90,3.89,MX,1701146306
fuxin,42.0156,121.6589,22.17,36,1,10.2,CN,1701146204
ad dabbah,18.05,30.95,70.02,23,12,8.63,SD,1701146307
hamilton,39.1834,-84.5333,33.24,64,100,15.99,US,1701146243
uturoa,-16.7333,-151.4333,79.16,81,100,20.29,PF,1701146308
guerrero negro,27.9769,-114.0611,66.47,71,100,5.7,MX,1701146308
villa ojo de agua,-29.5,-63.6938,67.53,95,3,8.3,AR,1701146309
east london,-33.0153,27.9116,65.34,100,75,4.61,ZA,1701146310
ta`u,-14.2336,-169.5144,81.91,84,78,17.76,AS,1701146310
sovetskiy,61.3614,63.5842,30.88,96,100,4.0,RU,1701146311
larkird,35.4894,66.6641,54.61,20,43,5.84,AF,1701146284
kerikeri,-35.2268,173.9474,71.91,68,23,1.99,NZ,1701146312
palopo,-2.9996,120.1921,85.19,70,93,5.93,ID,1701146312
port alfred,-33.5906,26.891,64.18,99,3,1.92,ZA,1701146313
hobyo,5.3505,48.5268,81.91,68,98,21.59,SO,1701146313
lompoc,34.6391,-120.4579,57.92,72,0,5.75,US,1701146314
jamestown,42.097,-79.2353,26.53,94,100,13.8,US,1701146224
cheongsong gun,36.4335,129.057,40.3,46,16,16.37,KR,1701146315
tahara,34.6667,137.2667,63.95,50,26,30.38,JP,1701146315
santa elena de uairen,4.6167,-61.1333,67.37,82,15,3.02,VE,1701146315
ouani,-12.1322,44.4258,82.31,72,11,4.65,KM,1701146316
awjilah,29.1081,21.2869,54.16,45,99,9.33,LY,1701146317
senanga,-16.1167,23.2667,71.94,66,52,3.33,ZM,1701146317
yevpatoriya,45.1972,33.3558,45.61,63,100,17.9,UA,1701146318
remedios,22.4947,-79.5458,70.72,90,16,7.52,CU,1701146318
bikenibeu village,1.3673,173.1241,85.96,74,20,3.44,KI,1701146319
lihue,21.9789,-159.3672,79.84,81,40,6.91,US,1701146319
czestochowa,50.7965,19.1241,31.08,91,100,11.45,PL,1701146320
luderitz,-26.6481,15.1594,65.82,74,82,15.75,NA,1701146320
howard springs,-12.497,131.047,98.98,59,98,10.92,AU,1701146320
sao miguel do araguaia,-13.275,-50.1628,74.66,75,10,2.35,BR,1701146321
ola,59.5833,151.2833,10.38,69,100,9.89,RU,1701146322
formosa,-26.1775,-58.1781,73.38,99,75,6.91,AR,1701146233
nova vicosa,-17.8919,-39.3719,73.22,92,75,5.35,BR,1701146323
yuzhno-kurilsk,44.0306,145.8556,43.38,96,99,6.26,RU,1701146323
angaur state,6.906,134.13,84.25,77,84,12.59,PW,1701146324
metropolis,37.1512,-88.732,37.31,76,0,5.75,US,1701146324
toliara,-23.35,43.6667,82.78,56,16,6.22,MG,1701146325
salalah,17.0151,54.0924,75.29,53,0,2.3,OM,1701146325
happy valley-goose bay,53.3168,-60.3315,34.11,75,100,11.5,CA,1701146326
khallikot,19.6167,85.0833,81.91,51,8,3.38,IN,1701146326
isafjordur,66.0755,-23.124,34.43,76,49,8.77,IS,1701146327
la passe,45.5549,-0.8967,50.99,79,90,15.05,FR,1701146327
tucurui,-3.7661,-49.6725,75.06,84,48,3.65,BR,1701146328
arraial do cabo,-22.9661,-42.0278,73.78,90,100,17.31,BR,1701146328
batang,-6.4846,110.7083,75.97,92,100,2.73,ID,1701146329
elmina,5.0898,-1.348,77.45,87,38,1.72,GH,1701146329
mil'kovo,55.6078,37.7956,26.11,92,100,10.8,RU,1701146329
tura,25.5198,90.2201,78.44,47,45,2.89,IN,1701146330
kavieng,-2.5744,150.7967,84.29,71,90,4.9,PG,1701146330
banepa,27.6298,85.5214,62.92,63,40,2.3,NP,1701146331
sena madureira,-9.0656,-68.6569,73.96,95,92,1.43,BR,1701146331
ulanhot,46.0833,122.0833,11.86,48,4,11.07,CN,1701146332
makokou,0.5738,12.8642,69.69,99,100,3.0,GA,1701146332
aktau,43.65,51.2,45.18,67,100,18.41,KZ,1701146333
weno,7.4515,151.8468,89.55,70,75,6.91,FM,1701146333
san matias,-16.3667,-58.4,76.6,78,54,4.85,BO,1701146334
lerwick,60.1545,-1.1494,41.0,66,98,21.36,GB,1701146335
sitka,57.0531,-135.33,42.69,81,100,8.05,US,1701146335
san ignacio de velasco,-16.3667,-60.95,71.78,86,99,2.8,BO,1701146336
chimoio,-19.1164,33.4833,69.66,94,20,0.98,MZ,1701146336
san luis de la loma,17.2706,-100.8939,78.58,77,95,4.72,MX,1701146337
sungailiat,-1.85,106.1333,84.94,67,83,1.5,ID,1701146042
abeche,13.8292,20.8324,74.7,26,70,11.27,TD,1701146337
lionel town,17.8101,-77.2406,82.29,85,3,3.91,JM,1701146338
chunskiy,56.0815,99.6342,0.68,80,32,1.34,RU,1701146338
xanxere,-26.8769,-52.4042,62.71,98,100,4.27,BR,1701146153
katabu,-4.9333,122.5167,88.03,62,95,5.39,ID,1701146339
barcelos,41.5388,-8.6151,57.34,95,100,3.2,PT,1701146340
hithadhoo,-0.6,73.0833,82.09,73,55,3.11,MV,1701146340
petropavlovsk-kamchatsky,53.0452,158.6483,23.59,63,20,15.99,RU,1701146340
nova sintra,14.8667,-24.7167,71.55,66,28,4.23,CV,1701146341
hailar,49.2,119.7,-7.78,92,94,4.79,CN,1701146341
vila franca do campo,37.7167,-25.4333,64.81,99,36,2.53,PT,1701146342
sarigerme,36.7155,28.7044,36.91,87,0,8.05,TR,1701146343
kailua-kona,19.6406,-155.9956,78.76,86,75,11.5,US,1701146343
geraldton,-28.7667,114.6,75.61,50,75,16.11,AU,1701146344
jinchang,38.4953,102.1739,45.57,24,94,12.3,CN,1701146344
bairnsdale,-37.8333,147.6167,68.05,82,100,5.99,AU,1701146345
gorontalo,0.5412,123.0595,84.07,83,97,1.77,ID,1701146345
kaa-khem,51.6833,94.7333,3.4,93,89,1.36,RU,1701146346
alappuzha,9.49,76.3264,87.01,66,100,1.74,IN,1701146346
guane,22.2025,-84.0875,72.48,90,44,7.34,CU,1701146347
valdovino,43.6094,-8.1115,51.19,94,100,9.28,ES,1701146347
orkney,-26.9802,26.6727,81.79,32,77,14.34,ZA,1701146348
mahriz,31.5917,54.4318,48.7,35,15,5.59,IR,1701146122
vernon,50.2581,-119.2691,38.01,69,16,1.14,CA,1701146349
saint-philippe,-21.3585,55.7679,80.19,77,5,7.83,RE,1701146350
chonchi,-42.6128,-73.8092,49.21,98,57,2.59,CL,1701146350
richards bay,-28.783,32.0377,75.74,91,100,6.55,ZA,1701146352
whitehorse,60.7161,-135.0538,32.77,74,20,13.8,CA,1701146105
nikolayevsk-on-amure,53.1406,140.73,7.57,60,14,3.18,RU,1701146353
dryden,49.7833,-92.7503,-0.11,85,20,5.75,CA,1701146353
cidreira,-30.1811,-50.2056,70.41,91,100,20.38,BR,1701146354
bahia de caraquez,-0.6,-80.4167,77.18,82,94,7.67,EC,1701146354
muroto-misakicho,33.2833,134.15,61.56,44,3,25.68,JP,1701146355
nagqu,31.5,92.0,31.68,26,48,2.35,CN,1701146356
pisco,-13.7,-76.2167,68.05,77,0,8.05,PE,1701146356
alofi,-19.0595,-169.9187,82.29,69,75,12.66,NU,1701146357
mont-laurier,46.5501,-75.4993,26.22,86,32,8.46,CA,1701146085
acarau,-2.8856,-40.12,79.05,82,100,10.89,BR,1701146358
la'ie,21.6477,-157.9253,80.56,79,76,3.0,US,1701146358
cestos city,5.46,-9.5828,78.91,82,51,2.55,LR,1701146359
wolmaransstad,-27.1974,25.9831,81.88,31,46,16.98,ZA,1701146359
nemuro,43.3236,145.575,46.83,85,97,14.9,JP,1701146360
boone,39.0334,-92.3335,31.51,94,11,5.82,US,1701146360
suva,-18.1416,178.4415,80.08,94,75,6.91,FJ,1701146361
atafu village,-8.5421,-172.5159,83.44,77,100,9.89,TK,1701146361
mccook,40.2019,-100.6257,26.65,78,0,8.05,US,1701146362
enewetak,11.3474,162.3373,82.42,75,6,19.53,MH,1701146362
abak,4.9797,7.7917,74.57,96,63,2.62,NG,1701146363
clovis,36.8252,-119.7029,54.84,52,40,3.44,US,1701146363
nar'yan-mar,67.6713,53.087,-4.32,100,89,7.25,RU,1701146364
port douglas,-16.4833,145.4667,79.95,76,99,4.76,AU,1701146211
crane,31.3974,-102.3501,44.76,46,67,7.85,US,1701146365
arvika,59.6553,12.5852,14.61,77,64,10.38,SE,1701146365
afaahiti,-17.75,-149.2833,82.06,85,93,21.59,PF,1701146366
kudahuvadhoo,2.6708,72.8944,82.49,71,100,3.74,MV,1701146366
kumertau,52.7667,55.7833,31.68,92,100,0.56,RU,1701146367
aweil,8.7682,27.4002,78.91,36,99,2.8,SS,1701146368
bakanas,44.8081,76.2772,49.84,43,97,4.18,KZ,1701146368
susaki,33.3667,133.2833,62.67,49,16,15.46,JP,1701146369
suntar,62.1444,117.6319,6.24,92,100,8.99,RU,1701146369
mufulira,-12.5498,28.2407,67.26,81,97,2.39,ZM,1701146369
yallahs,17.8748,-76.5624,82.13,81,4,6.31,JM,1701146370
punta arenas,-53.15,-70.9167,48.31,66,40,3.44,CL,1701146087
tucuma,-0.1833,-50.05,76.78,92,100,5.59,BR,1701146371
ialibu,-6.2821,143.9935,65.62,92,100,2.59,PG,1701146371
port sudan,19.6175,37.2164,79.52,68,97,14.63,SD,1701146373
gizo,-8.103,156.8419,81.82,81,100,8.68,SB,1701146374
touba,8.2833,-7.6833,72.16,87,31,2.08,CI,1701146374
ust-nera,64.5667,143.2,-12.46,100,100,3.44,RU,1701146375
mount isa,-20.7333,139.5,96.57,28,0,5.75,AU,1701146375
port elizabeth,-33.918,25.5701,64.31,96,100,4.61,ZA,1701146376
langsa,4.4683,97.9683,87.58,67,79,1.63,ID,1701146376
musoma,-1.5,33.8,69.62,80,86,4.36,TZ,1701146377
pueblo nuevo,23.3833,-105.3833,49.35,61,92,6.67,MX,1701146377
sona,45.4388,10.8255,40.32,89,75,8.05,IT,1701146378
shimokizukuri,40.8061,140.3861,46.94,85,95,12.5,JP,1701146378
isangel,-19.55,169.2667,82.51,69,100,4.61,VU,1701146379
moapa valley,36.5805,-114.4703,52.56,28,0,5.28,US,1701146209
erenhot,43.6475,111.9767,12.92,45,57,15.41,CN,1701146380
lesnikovo,55.2822,65.3175,34.63,81,99,12.55,RU,1701146380
manokwari,-0.8667,134.0833,82.94,74,96,2.75,ID,1701146381
midvagur,62.0511,-7.1939,32.83,80,82,1.14,FO,1701146381
tagiura,32.8817,13.3506,62.22,40,34,14.38,LY,1701146382
castillos,-34.1667,-53.8333,64.51,95,24,8.39,UY,1701146383
dzhangala,49.2167,50.3333,34.27,76,78,11.88,KZ,1701146383
muang phonsavan,19.45,103.2167,70.74,48,37,4.83,LA,1701146384
nazare,-13.035,-39.0144,72.14,94,30,1.52,BR,1701146384
pokoynoye,44.8097,44.2517,38.25,88,100,5.26,RU,1701146385
waingapu,-9.6567,120.2641,87.04,64,93,9.6,ID,1701146386
sanctuary point,-35.1114,150.629,68.32,94,100,12.55,AU,1701146386
huarmey,-10.0681,-78.1522,67.98,86,78,9.82,PE,1701146387
kapuskasing,49.4169,-82.4331,10.49,79,100,16.11,CA,1701146387
kampene,-3.6,26.6667,68.63,88,98,0.72,CD,1701146388
