City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
kayangel,8.0823,134.7173,83.91,77,85,13.04,PW,1701146388
undurkhaan,47.3194,110.6556,5.9,74,23,12.01,MN,1701146389
wuyang,31.9925,116.2472,60.49,22,0,10.54,CN,1701146389
launceston,-41.45,147.1667,71.24,49,100,11.5,AU,1701146390
san jose de feliciano,-30.3845,-58.7517,68.63,98,3,7.31,AR,1701146390
kununurra,-15.7667,128.7333,100.38,32,28,6.91,AU,1701146390
udachny,66.4167,112.4,-15.9,99,20,4.92,RU,1701146391
leua,48.2156,18.6071,33.37,98,100,9.46,SK,1701146391
ebon,4.582,168.6964,83.46,78,61,14.76,MH,1701146392
wewak,-3.5534,143.6268,84.92,69,78,7.65,PG,1701146392
antsohihy,-14.8796,47.9875,86.16,57,37,1.7,MG,1701146393
holmsund,63.706,20.3641,13.95,73,100,19.57,SE,1701146393
tofol,5.3248,163.0078,82.99,79,94,16.31,FM,1701146393
lamu,-2.2717,40.902,77.22,75,100,4.5,KE,1701146394
kamina,-8.7386,24.9906,63.61,95,99,1.83,CD,1701146394
bodden town,19.2833,-81.25,80.92,82,5,10.65,KY,1701146395
chadan,51.2833,91.5833,8.73,95,98,2.59,RU,1701146395
lebowakgomo,-24.2,29.5,68.9,43,3,3.56,ZA,1701146396
kili,5.6439,169.1211,82.24,82,93,17.36,MH,1701146396
bardsir,29.9227,56.5743,52.27,40,0,3.85,IR,1701146397
karonga,-9.9333,33.9333,82.18,55,50,2.06,MW,1701146397
tiquipaya,-17.3382,-66.2189,62.98,47,40,7.0,BO,1701146398
bamboo flat,11.7,92.7167,87.89,70,40,11.5,IN,1701146398
shahrud,36.4182,54.9763,49.71,49,2,3.94,IR,1701146398
alakurtti,66.9672,30.3491,12.34,93,84,8.08,RU,1701146399
choibalsan,48.0667,114.5,5.32,80,51,12.86,MN,1701146399
prince rupert,54.3161,-130.3201,46.09,93,100,24.16,CA,1701146400
portland,45.5234,-122.6762,42.04,71,0,13.8,US,1701146350
camarinas,43.1311,-9.1817,55.18,92,100,10.8,ES,1701146401
tralee,52.2704,-9.7026,39.38,85,18,1.39,IE,1701146401
nizhniy odes,63.6445,54.856,15.06,94,82,7.65,RU,1701146402
noumea,-22.2763,166.4572,91.38,62,70,16.71,NC,1701146402
wanning,18.8003,110.3967,77.76,63,22,12.88,CN,1701146403
al qitena,14.8648,32.3668,78.75,36,0,13.13,SD,1701146403
motueka,-41.1333,173.0167,65.48,61,66,4.52,NZ,1701146404
mount pearl,47.5166,-52.7813,36.95,87,75,24.16,CA,1701146404
simanggang,1.2472,111.4528,87.78,70,40,2.3,MY,1701146405
aigues-mortes,43.5698,4.1871,54.01,58,0,14.97,FR,1701146405
kodiak,57.79,-152.4072,38.71,60,0,12.66,US,1701146405
kone,-21.0595,164.8658,78.89,63,100,2.37,NC,1701146406
aldinga beach,-35.2793,138.4604,67.42,70,100,21.07,AU,1701146406
bubaque,11.2833,-15.8333,81.27,69,8,10.56,GW,1701146407
cabo san lucas,22.8909,-109.9124,76.75,78,45,4.12,MX,1701145946
pecos,31.4229,-103.4932,49.03,49,100,0.0,US,1701146408
shalqar,47.8333,59.6,45.41,77,100,10.92,KZ,1701146408
chibougamau,49.9168,-74.3659,22.62,86,100,10.36,CA,1701146207
gamay,12.3854,125.2979,81.91,86,94,8.19,PH,1701146409
kingston,17.997,-76.7936,81.55,74,20,8.05,JM,1701146253
cheremukhovo,60.3484,59.9851,22.96,96,100,1.99,RU,1701146410
christchurch,-43.5333,172.6333,77.2,36,53,17.27,NZ,1701146291
nanzhang chengguanzhen,31.7839,111.8275,65.61,43,0,9.95,CN,1701146411
cruz alta,-28.6386,-53.6064,64.06,97,100,6.67,BR,1701146411
barclayville,4.6797,-8.2339,76.26,90,67,1.81,LR,1701146411
nanao,37.05,136.9667,54.32,53,100,27.13,JP,1701146412
hengyang,26.8881,112.615,69.87,41,0,3.04,CN,1701146303
la ronge,55.1001,-105.2842,23.25,93,100,9.22,CA,1701146413
pleasant grove,40.3641,-111.7385,29.48,81,0,1.01,US,1701146413
yelizovo,53.1873,158.3805,24.94,50,20,4.47,RU,1701146414
dwarka,22.2394,68.9678,74.91,64,0,15.75,IN,1701146414
kutoarjo,-7.7169,109.9128,81.73,72,94,4.99,ID,1701146414
parun,35.4207,70.9221,37.71,49,7,3.06,AF,1701146415
borodulikha,50.7184,80.9295,32.07,67,86,4.9,KZ,1701146415
jalqani,12.4486,34.2186,81.91,31,0,4.43,SD,1701146416
alaghsas,17.0187,8.0168,73.09,23,43,6.24,NE,1701146416
wynyard,-41.0,145.7167,62.01,65,63,7.67,AU,1701146236
sinabang,2.4803,96.3801,80.64,80,99,4.81,ID,1701146417
ferkessedougou,9.6,-5.2,74.55,83,37,0.74,CI,1701146418
hotan,37.0997,79.9269,47.55,23,100,2.57,CN,1701146418
bandon,51.7469,-8.7425,36.99,89,5,6.62,IE,1701146310
smithers,54.7804,-127.1743,32.32,93,100,0.0,CA,1701146419
tazovsky,67.4667,78.7,5.86,96,95,8.9,RU,1701146420
anadyr,64.75,177.4833,30.7,86,20,17.9,RU,1701146224
hadibu,12.65,54.0333,79.39,62,99,12.86,YE,1701146421
puerto deseado,-47.7503,-65.8938,51.75,83,100,28.43,AR,1701146421
chernyshevskiy,63.0128,112.4714,-5.73,94,29,3.53,RU,1701146422
yarmouth,41.7057,-70.2286,43.97,62,75,21.99,US,1701146422
demyansk,57.643,32.466,25.29,91,93,7.92,RU,1701146423
zaozersk,69.4005,32.4476,22.68,91,92,5.99,RU,1701146423
labrador city,52.9463,-66.9114,30.11,93,100,8.05,CA,1701146236
sar-e pul,35.8333,66.1667,56.88,19,58,5.19,AF,1701146424
saldanha,-33.0117,17.9442,66.25,78,37,13.24,ZA,1701146424
shijiang,27.0819,110.7933,68.72,38,0,2.73,CN,1701146425
port augusta,-32.5,137.7667,67.87,65,99,18.57,AU,1701146425
poronaysk,49.2167,143.1167,21.87,53,100,9.84,RU,1701146426
at taj,24.2049,23.2857,57.27,57,100,7.85,LY,1701146426
kirakira,-10.4544,161.9205,83.03,83,100,5.44,SB,1701146427
labe,11.3182,-12.2833,65.14,55,2,2.37,GN,1701146427
nadym,65.5333,72.5167,19.47,96,100,7.52,RU,1701146427
inhambane,-23.865,35.3833,76.98,83,40,0.0,MZ,1701146428
aasiaat,68.7098,-52.8699,20.28,82,100,9.93,GL,1701146428
jodhpur,26.2867,73.03,68.7,52,0,8.25,IN,1701146429
bhimbar,32.9757,74.0793,74.05,23,28,3.36,PK,1701146429
mamuju,-2.6748,118.8885,83.62,78,88,4.41,ID,1701146430
polyarnyy,69.1989,33.4478,19.71,90,95,4.27,RU,1701146430
crookston,47.7741,-96.6081,5.9,78,0,4.61,US,1701146431
ponta delgada,37.7333,-25.6667,65.12,94,40,4.61,PT,1701146431
palmer,42.1584,-72.3287,38.75,62,40,6.91,US,1701146432
colonia,50.9333,6.95,36.05,87,40,8.05,DE,1701146432
tari,12.4086,4.4914,77.68,33,11,7.4,NG,1701146432
bujaru,-1.515,-48.0447,73.24,97,95,2.59,BR,1701146433
kodinsk,58.6881,99.1844,1.0,87,48,1.25,RU,1701146433
selfoss,63.9331,-20.9971,35.62,89,100,5.77,IS,1701146434
hafar al-batin,28.4328,45.9708,57.78,77,0,6.91,SA,1701146434
el nido,11.1858,119.3956,84.81,73,68,15.52,PH,1701146435
camana,-16.6228,-72.7111,66.67,86,32,6.49,PE,1701146435
natal,-5.795,-35.2094,74.05,100,75,3.44,BR,1701146253
liaocheng,36.4439,115.9647,46.99,21,64,5.75,CN,1701146302
panshan,41.1881,122.0494,26.4,32,1,9.1,CN,1701146436
sesheke,-17.4759,24.2968,74.64,59,10,4.16,ZM,1701146437
isla mujeres,21.2311,-86.731,77.16,82,53,16.02,MX,1701146437
lycksele,64.5954,18.6735,6.67,85,75,10.36,SE,1701146438
constantia,44.1833,28.65,34.48,64,17,17.47,RO,1701146438
flin flon,54.7682,-101.865,10.63,84,100,7.36,CA,1701146438
cuenca,-2.8833,-78.9833,59.13,77,75,4.61,EC,1701146176
solleftea,63.1667,17.2667,15.66,85,100,10.89,SE,1701146439
viedma,-40.8135,-62.9967,66.67,71,100,15.26,AR,1701146440
hun,29.1268,15.9477,56.41,52,77,6.02,LY,1701146440
colares,38.7992,-9.4469,62.33,97,100,14.0,PT,1701146441
akita,39.7167,140.1167,49.14,93,75,20.71,JP,1701146441
alcarras,41.5667,0.5167,52.57,82,0,17.27,ES,1701146304
kegums,56.7451,24.7244,26.1,97,100,2.39,LV,1701146442
omaruru,-21.4333,15.9333,76.84,42,90,7.56,NA,1701146442
tshabong,-26.05,22.45,87.82,26,66,13.62,BW,1701146443
kolonia town,6.964,158.206,87.91,74,75,18.41,FM,1701146444
santo antonio do sudoeste,-26.0736,-53.7253,65.91,100,100,3.65,BR,1701146444
kharkhorin,47.1975,102.8238,12.31,72,67,2.89,MN,1701146444
gadzhiyevo,69.2551,33.3362,19.63,91,94,4.52,RU,1701146445
ploneour-lanvern,47.9,-4.2833,46.69,87,0,6.91,FR,1701146445
ibotirama,-12.1853,-43.2206,68.58,34,0,0.81,BR,1701146446
brezina,33.0989,1.2608,48.16,34,4,8.21,DZ,1701146446
genc,38.7507,40.5603,33.84,62,1,3.51,TR,1701146447
guasdualito,7.2424,-70.7324,76.78,80,77,3.94,VE,1701146447
mejit,10.2753,170.8646,81.66,77,9,20.27,MH,1701146447
bridlington,54.0831,-0.1919,42.89,80,90,3.0,GB,1701146448
zheleznogorsk-ilimskiy,56.5768,104.1217,1.36,83,95,1.99,RU,1701146448
mazouna,36.1223,0.8987,55.26,88,86,8.77,DZ,1701146449
dungarpur,23.8333,73.7167,70.75,63,0,7.23,IN,1701146449
howrah,22.5892,88.3103,80.6,54,20,3.44,IN,1701146450
alesund,62.4723,6.1549,28.76,56,0,13.8,NO,1701146450
apaxtla de castrejon,18.15,-99.8667,64.98,80,82,0.85,MX,1701146450
usinsk,65.9939,57.5281,7.07,87,100,10.0,RU,1701146451
ayr,55.4627,-4.6339,34.32,100,20,1.14,GB,1701146451
praia da vitoria,38.7333,-27.0667,63.75,94,75,4.74,PT,1701146452
veraval,20.9,70.3667,76.42,63,0,8.93,IN,1701146452
srandakan,-7.9386,110.2506,82.6,67,100,7.99,ID,1701146453
soderhamn,61.3037,17.0592,19.96,91,100,19.62,SE,1701146453
itaiba,-8.9475,-37.4228,70.38,87,3,6.67,BR,1701146454
jakobstad,63.6749,22.7026,21.92,92,100,27.18,FI,1701146454
flying fish cove,-10.4217,105.6791,82.08,65,75,12.66,CX,1701146455
porto murtinho,-21.6989,-57.8825,77.34,74,81,5.3,BR,1701146455
papao,-17.75,-149.55,83.66,84,87,23.87,PF,1701146456
venice,27.0998,-82.4543,60.98,92,0,5.75,US,1701146298
woolgoolga,-30.1106,153.2007,78.04,83,100,4.85,AU,1701146457
coquimbo,-29.9533,-71.3436,58.73,88,0,4.61,CL,1701146457
mahabad,36.7631,45.7222,43.56,65,58,6.71,IR,1701146457
new norfolk,-42.7826,147.0587,60.71,65,100,4.99,AU,1701146458
okha,53.5739,142.9478,8.82,81,33,14.52,RU,1701146458
ulladulla,-35.35,150.4667,67.77,95,100,12.3,AU,1701146459
pasuquin,18.3328,120.6177,87.75,74,20,14.97,PH,1701146459
kisii,-0.6817,34.7667,63.01,91,91,1.25,KE,1701146460
humaita,-7.5061,-63.0208,72.75,91,33,1.28,BR,1701146460
sao paulo de olivenca,-3.3783,-68.8725,74.57,91,45,0.2,BR,1701146460
beira,-19.8436,34.8389,75.29,83,40,4.61,MZ,1701146461
scottburgh,-30.2867,30.7532,74.26,87,33,7.09,ZA,1701146462
blackfoot,43.1905,-112.345,19.06,87,11,4.21,US,1701146462
cabinda,-5.55,12.2,77.14,94,100,3.44,AO,1701146463
kibre mengist,5.8833,38.9833,60.44,74,71,3.0,ET,1701146463
ciudad lazaro cardenas,17.9583,-102.2,78.58,76,90,3.89,MX,1701146463
fale old settlement,-9.3852,-171.2468,81.52,86,100,20.07,TK,1701146464
aripuana,-9.1667,-60.6333,75.18,74,28,0.63,BR,1701146464
puerto san jose,13.9256,-90.8244,77.74,82,4,6.58,GT,1701146465
katsuren-haebaru,26.3369,127.8719,75.97,45,0,13.8,JP,1701146465
port pirie,-33.1833,138.0167,68.22,65,92,13.56,AU,1701146465
mhamid,29.82,-5.72,57.09,23,71,5.06,MA,1701146466
mebane,36.096,-79.267,37.85,66,0,6.91,US,1701146466
shenjiamen,29.9576,122.298,59.76,45,0,11.07,CN,1701146467
bhadarwah,32.9833,75.7167,60.39,37,55,2.39,IN,1701146467
mermoz boabab,14.7065,-17.4758,70.36,64,39,12.35,SN,1701146468
aykhal,66.0,111.5,-6.65,96,14,7.09,RU,1701146468
eyl,7.9803,49.8164,80.28,58,99,18.81,SO,1701146469
udomlya,57.8794,34.9925,23.43,93,100,10.38,RU,1701146469
west bay,19.3667,-81.4167,81.0,82,5,1.01,KY,1701146470
pacific grove,36.6177,-121.9166,53.65,46,0,8.05,US,1701146470
dokkum,53.3222,5.997,37.38,75,100,12.66,NL,1701146471
dolores,-36.3132,-57.6792,66.04,90,0,12.35,AR,1701146471
lae,-6.7221,146.9847,84.69,72,68,10.38,PG,1701146472
guangming,45.3333,122.7833,15.21,31,2,7.0,CN,1701146472
marsh harbour,26.5412,-77.0636,72.63,71,28,14.05,BS,1701146472
ulsteinvik,62.3432,5.8487,28.76,56,1,10.0,NO,1701146473
cartagena,10.3997,-75.5144,82.02,89,0,6.91,CO,1701146473
selkirk,50.1436,-96.8845,6.87,89,11,5.73,CA,1701146474
kabo,7.6994,18.629,76.32,73,100,3.8,CF,1701146474
kingscliff,-28.2667,153.5667,70.74,94,100,13.8,AU,1701146475
la sarre,48.8002,-79.1996,14.5,93,100,11.81,CA,1701146475
delvada,20.7667,71.0333,77.36,59,0,9.66,IN,1701146475
saudarkrokur,65.7461,-19.6394,34.56,99,100,3.87,IS,1701146476
sisimiut,66.9395,-53.6735,21.04,88,100,13.53,GL,1701146476
puerto del rosario,28.5004,-13.8627,62.35,82,0,6.91,ES,1701146477
mangrol,21.1167,70.1167,76.01,63,0,9.8,IN,1701146477
imbituba,-28.24,-48.6703,69.24,96,100,8.81,BR,1701146326
badagry,6.4167,2.8833,78.48,84,100,3.8,NG,1701146478
calama,-22.4667,-68.9333,50.49,22,0,11.5,CL,1701146425
long beach,33.767,-118.1892,64.51,37,40,0.0,US,1701146181
goondiwindi,-28.55,150.3167,72.48,72,100,13.76,AU,1701146480
vuktyl,63.8567,57.3094,8.11,95,60,5.01,RU,1701146480
bochum,51.4833,7.2167,34.43,97,100,1.01,DE,1701146481
palikir - national government center,6.9248,158.1611,86.85,74,75,18.41,FM,1701146481
cole harbour,44.6724,-63.4751,45.97,92,80,7.0,CA,1701146482
gapyeong,37.831,127.5106,38.05,44,16,14.65,KR,1701146482
namtsy,62.7161,129.6658,-15.3,98,100,1.9,RU,1701146483
rawson,-43.3002,-65.1023,59.31,77,56,18.86,AR,1701146483
khasab,26.1799,56.2477,77.9,57,24,1.19,OM,1701146484
ilhabela,-23.7781,-45.3581,73.44,94,100,5.28,BR,1701146485
amga,60.8953,131.9608,-15.81,98,98,0.29,RU,1701146485
impfondo,1.6381,18.0667,71.42,97,99,1.19,CG,1701146485
itarantim,-15.6597,-40.0656,62.2,92,6,1.23,BR,1701146486
necochea,-38.5473,-58.7368,60.21,90,29,13.04,AR,1701146487
lorengau,-2.0226,147.2712,83.64,73,81,3.69,PG,1701146487
touros,-5.1989,-35.4608,76.46,85,7,8.81,BR,1701146488
galesong,-5.3166,119.3661,89.62,70,93,9.37,ID,1701146488
rio preto da eva,-2.6994,-59.6997,73.51,95,90,2.39,BR,1701146489
vadso,70.0744,29.7487,32.16,74,75,16.11,NO,1701146489
taltal,-25.4,-70.4833,63.05,78,1,1.23,CL,1701146490
kruisfontein,-34.0033,24.7314,67.46,49,1,2.71,ZA,1701146490
queenstown,-31.8976,26.8753,68.54,67,11,0.83,ZA,1701146490
yiyang,28.5892,112.3283,70.79,36,0,5.5,CN,1701146491
amherst,41.3978,-82.2224,27.52,75,100,16.11,US,1701146491
morondava,-20.2833,44.2833,82.06,55,2,1.66,MG,1701146492
kurchatov,51.6601,35.6521,25.21,94,100,12.66,RU,1701146492
mezhdurechensk,53.6942,88.0603,22.6,81,29,2.77,RU,1701146493
sevastopol,44.6,33.5333,44.01,47,87,1.01,UA,1701146493
dudinka,69.4058,86.1778,-2.63,96,91,8.5,RU,1701146494
siwa oasis,29.2041,25.5195,53.98,60,13,6.15,EG,1701146494
morwell,-38.2333,146.4,66.4,76,94,9.28,AU,1701146494
chimbarongo,-34.7,-71.05,58.08,91,65,1.97,CL,1701146495
boundiali,9.5217,-6.4869,74.25,80,25,2.75,CI,1701146495
dauphin,51.1494,-100.0502,15.94,73,100,4.61,CA,1701146496
saint-francois,46.4154,3.9054,44.04,88,100,12.66,FR,1701146496
tyukhtet,56.5389,89.3011,8.28,91,43,5.44,RU,1701146496
ozalp,38.6548,43.993,28.74,83,75,5.26,TR,1701146497
mournies,35.4764,24.0092,58.84,76,40,3.44,GR,1701146497
khost,33.3395,69.9204,61.84,24,6,1.03,AF,1701146498
egilsstadir,65.2653,-14.3948,33.71,86,0,8.05,IS,1701146498
mazara del vallo,37.6641,12.588,60.93,74,100,19.42,IT,1701146499
abepura,-2.6333,140.5833,92.21,52,20,8.05,ID,1701146499
marang,5.2056,103.2059,78.71,95,100,2.08,MY,1701146363
inari,68.906,27.0288,1.6,97,100,5.06,FI,1701146500
biltine,14.5333,20.9167,76.84,23,29,16.62,TD,1701146500
al bawiti,28.3492,28.8659,53.51,75,100,6.24,EG,1701146501
salahonda,2.1019,-78.7217,78.73,88,94,14.72,CO,1701146501
les cayes,18.2,-73.75,75.99,87,5,3.47,HT,1701146501
morehead city,34.7229,-76.726,48.2,74,0,6.91,US,1701146502
paracuru,-3.41,-39.0306,81.1,77,100,10.16,BR,1701146503
pamekasan,-7.1568,113.4746,78.22,84,100,9.26,ID,1701146503
riscani,47.9572,27.5539,28.11,64,81,6.35,MD,1701146504
zyrya,40.3661,50.2917,48.29,65,100,21.16,AZ,1701146504
malango,-2.9627,119.9001,79.2,78,88,3.4,ID,1701146505
piton saint-leu,-21.2196,55.3151,80.67,69,0,3.44,RE,1701146505
de aar,-30.6497,24.0123,79.02,25,6,0.98,ZA,1701146505
khash,28.2211,61.2158,56.68,63,0,2.95,IR,1701146506
khovd,48.0056,91.6419,22.68,77,18,1.99,MN,1701146506
yaren,-0.5472,166.916,84.43,70,60,2.39,NR,1701146507
tolanaro,-25.0319,46.9987,80.67,83,20,18.41,MG,1701146507
novodvinsk,64.4165,40.8122,20.79,88,100,13.47,RU,1701146508
isfara,40.1265,70.6253,58.77,23,45,3.18,TJ,1701146508
kloulklubed,7.0419,134.2556,88.3,76,83,12.03,PW,1701146508
nizhnesortymskiy,62.4397,71.7603,29.26,98,100,11.72,RU,1701146509
sao joao da barra,-21.6403,-41.0511,74.19,90,100,7.11,BR,1701146509
boguchany,58.3814,97.4531,1.85,80,13,1.01,RU,1701146510
sulak,43.2734,47.5146,42.13,89,100,10.42,RU,1701146510
port saint john's,-31.6229,29.5448,72.07,64,3,0.36,ZA,1701146511
aioun,16.6614,-9.6149,66.9,18,2,10.02,MR,1701146511
mahina,-17.5065,-149.489,83.75,69,75,6.91,PF,1701146511
sechura,-5.5569,-80.8222,69.46,77,8,13.11,PE,1701146512
kourou,5.1552,-52.6478,75.25,89,37,6.04,GF,1701146512
ketchikan,55.3422,-131.6461,48.67,93,100,13.8,US,1701146513
walvis bay,-22.9575,14.5053,67.15,82,0,8.05,NA,1701146513
zhanaozen,43.3,52.8,40.73,73,100,20.11,KZ,1701146514
chamical,-30.36,-66.314,77.22,66,5,12.1,AR,1701146514
berwick-upon-tweed,55.7833,-2.0,39.99,86,71,9.37,GB,1701146514
sestri levante,44.2732,9.3968,47.05,92,44,5.66,IT,1701146515
tarawa,1.419,172.984,86.09,74,20,3.44,KI,1701146515
grand falls-windsor,48.9332,-55.6649,34.5,84,100,7.0,CA,1701146516
xichang,27.8964,102.2634,62.15,59,18,3.49,CN,1701146359
villamontes,-21.25,-63.5,76.69,77,99,2.44,BO,1701146517
salto,-31.3833,-57.9667,73.87,88,6,4.0,UY,1701146517
ugoofaaru,5.6667,73.0,82.98,72,99,11.21,MV,1701146518
